"Tên hàng hóa, dịch vụ",Đơn giá,Matched_SP,Score
Nước uống Pororo hương vị Việt quất,"13.888,88",Pororo,100
Nước uống Pororo hương vị nho,"13.888,88",Pororo,100
Nước Ép Táo 100% Nguyên Chất Hiệu Fan 1L,37.8,Nước FAN Táo 1L,100
Omega 3,0,Omega 3 fish oil USA h/120v,100
Omega 3,137.037,Omega 3 fish oil USA h/120v,100
Omega 3,"74.074,074",Omega 3 fish oil USA h/120v,100
Phô mai kem Bottega Zelachi 200g (BOTTEGA ZELACHI CREAM CHEESE 200G),65.7,Phô mai kem Bottega Zelachi 200g,100
Rong biển ăn liền,24,Rong Biển Lá Xanh Ăn Liền Trộn Cơm,100
Rượu JW Red Label 75cl,"305.074,09",Rượu JW Red Label 75cl,100
Rượu Whisky Robinson 175ml,"38.023,72",Rượu whisky robinson 175ml,100
Sa tế CHIN-SU tôm ớt sả MN 8khay x 6 hũ x 90gr,"7.407,38",SA tế CHIN-SU tôm ớt sả 90GR,100
Sa tế CHIN-SU tôm ớt sả MN 8khay x 6 hũ x 90gr,"7.407,4",SA tế CHIN-SU tôm ớt sả 90GR,100
Salami khô 100g,37.923,Salami xúc xích khô salchichon iberico cebo 100g,100
Serum giúp cung cấp độ ẩm cho da và làm sáng da..LANBENA VITAMIN C BRIGHTENING SERUM,149.86,lanbena,100
Serum giúp cung cấp độ ẩm cho da và làm sáng da..LANBENA VITAMIN C BRIGHTENING SERUM,131.417,lanbena,100
Serum giúp cung cấp độ ẩm cho da và làm sáng da..LANBENA VITAMIN C BRIGHTENING SERUM,149.861,lanbena,100
"Serum giúp cung cấp độ ẩm cho da, giúp ngăn ngừa và cải thiện tình trạng da khô ráp..LANBENA RETINOL REJUVENATING SERUM",149.861,lanbena,100
"Serum giúp cung cấp độ ẩm cho da, giúp ngăn ngừa và cải thiện tình trạng da khô ráp..LANBENA RETINOL REJUVENATING SERUM",149.862,lanbena,100
"Serum giúp cung cấp độ ẩm cho da, giúp ngăn ngừa và cải thiện tình trạng da khô ráp..LANBENA RETINOL REJUVENATING SERUM",131.417,lanbena,100
Serum giúp cung cấp độ ẩm cho da.. LANBENA RETINOL REJUVENATING SERUM,131.417,lanbena,100
TRÀ OOLONG SỮA (200G),38,Trà Sữa 200g,100
TRÀ XANH (100G),19,Trà Olong Tâm Châu Hộp Xanh 100g,100
TRÀ ĐEN,190,Trà đen xanh rồng,100
TRÀ ĐEN  (200G),38,Trà Đen 200g Lưu Luyến,100
TRÀ ĐEN (200G),38,Trà Đen 200g Lưu Luyến,100
Thuốc lá Cotab,"11.909,0909",Thuốc lá Cotab Gói lẻ,100
Trà Sen,25,"Miếng nam châm trang trí tủ lạnh- mẫu cao su, tháp bà, nhà thờ, đài sen",100
Trà Vàng 25 gói ( có HS ),24,Trà Vàng 25 gói ( có HS ),100
Trà Vàng 25 gói ( có HS ),30,Trà Vàng 25 gói ( có HS ),100
Trà Vàng 25 gói ( có HS ),32.4,Trà Vàng 25 gói ( có HS ),100
Trà hương Olong 30g,25,Trà túi lọc Hương hoa Olong 30g bản cf,100
Trà lài,25,Trà xanh lài túi lọc,100
Trà sen,25,"Miếng nam châm trang trí tủ lạnh- mẫu cao su, tháp bà, nhà thờ, đài sen",100
Trà Đen túi lọc 50g,"29.629,63",TRÀ ĐEN CEYLON DILMAH 25 TÚI LỌC 50G ENGLISH BREAKFAST,100
Trà đen 200g,24,Trà Đen 200g Lưu Luyến,100
Trái cây sấy 100g,"26.481,48",trái cây sấy và hạt Choco frunut gói 100g,100
Trái Ôliu Xanh Hiệu Latino Bella 450G,85.6,Trái ôliu xanh hiệu Latino Bella 450g,100
Táo 11,50,Hộp Táo 11,100
Táo 13,55,Hộp Táo 13,100
Túi Macca 500g,142.212,MACCA 500G,100
"Túi may sọc ngang size to, may bằng sợi dây giấy. Mới 100%",83,túi sọc to may bằng sợi dây giấy,100
"Tẩy Tế Bào Da Chết 168 (LSX 250325, HSD 250328)","59.259,26",Tẩy tế bào da chết,100
"Tẩy Tế Bào Da Chết 168 (LSX 250325, HSD 250328)",0,Tẩy tế bào da chết,100
Vitamin A-D,54.63,Viên uống Vitamin A - D,100
Vitamin A-D,0,Viên uống Vitamin A - D,100
Vitamin A-D,"33.333,333",Viên uống Vitamin A - D,100
"Viên ngậm bảo họng Ích phế khang (Hộp 20 túi x 10v) ( Lô: 01525, HSD: 11/09/2028 )",0,Hộp Chè 11,100
"Viên ngậm bảo họng Ích phế khang (Hộp 20 túi x 10v) ( Lô: 01525, HSD: 11/09/2028 )","361.111,11",Hộp Chè 11,100
XMEN SRM DETOX 100G,68.182,Srm Xmen Go Detox Than Tre Hoạt Tính 100G,100
Xoài sấy dẻo,130,Xoài Sấy Dẻo Chocolate,100
Xà bông quả Nhàu thủ công,17.5,XÀ BÔNG NHÀU,100
bánh xoài,22.222,bánh tuyết nếp vị xoài,100
Đào Cozy,32.4,Trà đào hòa tan cozy,100
Đào Cozy,0,Trà đào hòa tan cozy,100
Đào Cozy,36.288,Trà đào hòa tan cozy,100
Bánh bông lan ca cao hình tart nhãn hiệu BOWKNOT (2kg/thùng),"242.592,6",Bánh bông lan bơ hình tart nhãn hiệu BOWKNOT (2kg /thùng),97
Cốc bầu s3 các màu,58,Cốc Bầu S3 Các Mẫu,97
Hộp cà phê vị sầu riêng Nonla 1 viên,"14.814,82",hộp cà phê vị sầu riêng Nonla 8 viên,97
Kẹo mềm vị sầu riêng nhãn hiệu RiHaOne (378 gram*18 gói/thùng),"29.629,63",Kẹo mềm vị sầu riêng nhãn hiệu RiHaOne (378g *18 gói/thùng),96
Miếng dán giảm đau thảo dược Danasa,23,Miếng dán giảm đau thảo dược Danapas,96
TRÀ OOLONG SỮA,190,Trà olong sữa,96
32717 - Sữa chống nắng dưỡng trắng da  Sunplay Whitening UV 30g,88.765,Kem chống nắng Sunplay whitening UV 30g,95
32717 - Sữa chống nắng dưỡng trắng da  Sunplay Whitening UV 30g,89.167,Kem chống nắng Sunplay whitening UV 30g,95
Bánh bông lan vị sô cô la nhãn hiệu WEISIEL (2 kg/thùng),"192.592,59",Bánh bông lan vị sô cô la hạt phỉ nhãn hiệu WEISIEL (2kg/thùng),95
"Dung dịch Xịt vết tổn thương trên da HEROSKIN - Vết thương, Bỏng, Viêm loét da loại 50ml SOLO : 010426; NSX: 01/04/26; HSD : 01/04/28","36.571,42","Heroskin lành vết thương bỏng,viêm loét da 50ml",95
Durex - Bao cao su Fetherlite 3S,55.429,BAO CAO SU DUREX FETHERLITE ULTIMA 3 CÁI,95
Durex - Bao cao su Pleasuremax 3S,50.44,Bao Cao Su Pleasuremax Durex 12 Cái,95
Kem lốc xoáy Fanfare 175ml (15cây/Thùng) (Chocolate),21.818,KEM LỐC XOÁY VỊ CHOCOLATE 175ML,95
Kem lốc xoáy Fanfare 175ml (15cây/Thùng) (Chocolate),"21.818,1",KEM LỐC XOÁY VỊ CHOCOLATE 175ML,95
Kem lốc xoáy Fanfare 175ml (15cây/Thùng) (Chocolate),"21.818,2",KEM LỐC XOÁY VỊ CHOCOLATE 175ML,95
Kem lốc xoáy Fanfare 175ml (15cây/Thùng) (Chocolate),0,KEM LỐC XOÁY VỊ CHOCOLATE 175ML,95
Mặt nạ xông hơi mắt trà xanh Baby Bright Sleep Well Green Tea Heating Eye Mask 1 miếng-2040114660022-8858842081167,22.5,Nạ ngủ mắt Baby Bright heating EYE mask,95
Nam châm lưu niệm size S,20,nam châm lưu niệm size M ( cai),95
Nước ép Marigold Táo 100% 1000ml*12,61.818,Nước Ép Marigold Hoa Quả Nhiệt Đới 100% 1000ml * 12,95
"Omega 3.6.9 Q10 Plus (100 viên/lọ) (số lô SX:01.10.25, NSX:08.10.25, HSD:07.10.28)",46,T omega 3.6.9 Q10 Plus,95
"Túi may sọc ngang size nhỏ, May bằng sợi dây giấy. Mới 100%",73,túi sọc to may bằng sợi dây giấy,95
Durex - Bao cao su Pleasuremax 12S,172.752,Bao Cao Su Pleasuremax Durex 12 Cái,94
Dầu xả Rejoice 300mlX12 Lanender Hàn Quốc,"71.296,25",Dầu xả Rejoice lavender Hàn Quốc 300ml,94
Dầu xả Rejoice 300mlX12 Lanender Hàn Quốc,"71.296,33",Dầu xả Rejoice lavender Hàn Quốc 300ml,94
Hộp cà phê hoà tan 3in1 200g,42,Hộp cà phê hòa tan 3in1 200g - Bản Cafe,94
Hộp cà phê hoà tan 3in1 200g,50,Hộp cà phê hòa tan 3in1 200g - Bản Cafe,94
Hộp cà phê hoà tan 3in1 200g,38.25,Hộp cà phê hòa tan 3in1 200g - Bản Cafe,94
Miếng dán giảm đau thảo dược Danasip,170,Miếng dán giảm đau thảo dược Danapas,94
Nước giải khát có ga Maison Perrier Forever hương chanh xanh 250ml,26.9,Maison Perrier nước khoáng có ga Hương chanh 250ml xanh 250ml,94
Nước Ép Nho Đỏ 100% Nguyên Chất Hiệu Fan 1L,37.8,FAN nước ép nho đỏ nguyên chất 1L T12,94
Nước ép Marigold Cam 100% 1000ml*12,61.818,Nước Ép Marigold Hoa Quả Nhiệt Đới 100% 1000ml * 12,94
PURITE ST HOA ANH ĐÀO 250ML,71.008,Sữa Tắm Purite Hoa Anh Đào 250ml new,94
